Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,39.975,46.3,90.0,top
C2,10u,C_0603_1608Metric,37.55,46.325,90.0,top
C3,10u,C_0603_1608Metric,22.725,46.325,90.0,top
C4,1u,C_0402_1005Metric,14.225,7.8,0.0,top
C5,1u,C_0402_1005Metric,34.8,6.85,180.0,top
C6,1u,C_0402_1005Metric,37.275,43.875,-90.0,top
C7,1u,C_0402_1005Metric,39.7,43.85,90.0,top
C8,1u,C_0402_1005Metric,31.775,8.325,0.0,top
C9,1u,C_0402_1005Metric,27.25,49.1,-90.0,top
C10,1u,C_0402_1005Metric,22.45,43.875,-90.0,top
C11,1u,C_0402_1005Metric,5.1,31.7,90.0,top
C12,1u,C_0402_1005Metric,10.925,8.375,0.0,top
C13,1u,C_0402_1005Metric,39.525,8.325,0.0,top
C14,10u,C_0603_1608Metric,13.65,6.575,180.0,top
C15,10u,C_0603_1608Metric,5.1,41.425,90.0,top
C16,10u,C_0603_1608Metric,45.35,14.35,-90.0,top
C17,10u,C_0603_1608Metric,4.95,9.3,90.0,top
C18,10u,C_0603_1608Metric,34.8,8.15,0.0,top
C19,10u,C_0603_1608Metric,31.75,7.025,180.0,top
CON1,~,FH-00148_PinSocket_2x20_P2.54mm,5.0,26.0,0.0,bottom
CON2,~,FH-00148_PinSocket_2x20_P2.54mm,45.0,26.0,0.0,bottom
FID1,Fiducial,Fiducial_1mm_Mask2mm,15.125,1.5,0.0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,39.5,50.75,0.0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,39.0,1.5,0.0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,15.44,50.2,-90.0,top
R1,1k,R_0402_1005Metric,5.0,45.69,-90.0,top
R2,1k,R_0402_1005Metric,5.1,50.4,180.0,top
R3,0R,R_1206_3216Metric,17.85,45.3,90.0,top
R4,0R,R_1206_3216Metric,32.3,45.3,90.0,top
R6,0R,R_0402_1005Metric,25.7,43.875,-90.0,top
R7,0R,R_0402_1005Metric,25.7,45.9,-90.0,top
TP1,TestPoint_Alt,TestPoint_Keystone_5019_Minature,20.475,45.3,-90.0,top
TP2,TestPoint_Alt,TestPoint_Keystone_5019_Minature,35.3,45.3,90.0,top
TP3,TestPoint_Alt,TestPoint_Keystone_5019_Minature,15.225,45.3,-90.0,top
TP4,TestPoint_Alt,TestPoint_Keystone_5019_Minature,29.2,45.3,90.0,top
TP9,TestPoint_Alt,TestPoint_Keystone_5019_Minature,34.85,49.3,180.0,top
U1,Enplas QFN-64BT-0.5-01,Socket-QFN-64-1EP_9x9mm_P0.5mm_rot90,24.9,27.8,0.0,top
U2,24LC02,DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,30.0,49.45,90.0,top
